schemaname,tablename,indexname,indexdef
public,17_content_asset_source,17_content_asset_source_content_key_asset_key_key,"CREATE UNIQUE INDEX ""17_content_asset_source_content_key_asset_key_key"" ON public.""17_content_asset_source"" USING btree (content_key, asset_key)"
public,17_content_asset_source,17_content_asset_source_pkey,"CREATE UNIQUE INDEX ""17_content_asset_source_pkey"" ON public.""17_content_asset_source"" USING btree (content_asset_source_id)"
public,17_content_asset_source,17_content_asset_source_rights_status_idx,"CREATE INDEX ""17_content_asset_source_rights_status_idx"" ON public.""17_content_asset_source"" USING btree (rights_status, used_in_service)"
public,20_service_shop,20_service_shop_pkey,"CREATE UNIQUE INDEX ""20_service_shop_pkey"" ON public.""20_service_shop"" USING btree (service_shop_id)"
public,20_service_shop,idx_20_service_shop_kakao_place_id,"CREATE INDEX idx_20_service_shop_kakao_place_id ON public.""20_service_shop"" USING btree (kakao_place_id) WHERE (kakao_place_id IS NOT NULL)"
public,20_service_shop,idx_20_service_shop_region,"CREATE INDEX idx_20_service_shop_region ON public.""20_service_shop"" USING btree (sido_name, sigungu_name, subdistrict_name, dong_name)"
public,20_service_shop,idx_service_shop_active_verified,"CREATE INDEX idx_service_shop_active_verified ON public.""20_service_shop"" USING btree (is_active, verification_status)"
public,20_service_shop,idx_service_shop_coords,"CREATE INDEX idx_service_shop_coords ON public.""20_service_shop"" USING btree (latitude, longitude)"
public,20_service_shop,service_shop_name_address_unique,"CREATE UNIQUE INDEX service_shop_name_address_unique ON public.""20_service_shop"" USING btree (shop_name, address)"
public,21_service_shop_service,21_service_shop_service_pkey,"CREATE UNIQUE INDEX ""21_service_shop_service_pkey"" ON public.""21_service_shop_service"" USING btree (service_shop_service_id)"
public,21_service_shop_service,idx_service_shop_service_shop,"CREATE INDEX idx_service_shop_service_shop ON public.""21_service_shop_service"" USING btree (service_shop_id, service_type)"
public,21_service_shop_service,service_shop_service_unique,"CREATE UNIQUE INDEX service_shop_service_unique ON public.""21_service_shop_service"" USING btree (service_shop_id, service_type)"
public,22_service_shop_discovery_checkpoint,22_service_shop_discovery_checkpoint_pkey,"CREATE UNIQUE INDEX ""22_service_shop_discovery_checkpoint_pkey"" ON public.""22_service_shop_discovery_checkpoint"" USING btree (checkpoint_id)"
